msno,city,bd,gender,registered_via,registration_init_time
m6zzLukYsNQWJAbCwlxVnqrx34qcE2rAcC/w9uWY8T4=,5,23,male,9,20100224
ZWIZDckv4n1nzXfhSIBvG/o3Ky5Wlj56fXJcGgdadRc=,6,19,female,3,20140303
yksmPfEbk4BWT2j/ZjK7M+Dm6u65ECIXkQaCqcXIkMM=,1,0,,7,20101025
Zcq9YiqIgkdNOL7eSk1qiQBRqxq9LIz6okVI/+AX3/c=,1,0,,9,20150527
yjYTyZ219IHRTXMGA8JGXGUiB9X/Ht8vwO+DeE/qKU0=,13,41,female,9,20130415
RrhfkZeUP8Z04b2d2dSuLSFoqenGVE3oRXolfHOTgPU=,17,23,male,3,20150503
CY44teQ8SoeLhKcXroecrluWzWf9SMr1FohJmDoKoFM=,14,0,,9,20150321
v+1lvBaLF5IZpoGuBj/sZGifJUDJJozqbn3Y46FJ5W8=,13,27,female,9,20060529
dz1DvByj65ftadKlI0AbMRcxluDz3K2YrlmhpruvmTU=,22,29,male,7,20100926
iwjoxXl5C64jgs85gC7Cuh3are8uuTGKjyTo13Y3Uik=,13,22,female,3,20131118
heGog6Y9334zctNnKjz5UbQB7GNbhSaGCwUD8tPxixQ=,1,0,,4,20151219
LVKI2+Y65pm4LlNSSh875bIWszo4TfsMx3TvnFRS9fo=,1,0,,7,20151009
mdNbKqiffh1JNkOQzSDfftDRV8o0ib/xtixXqj4WG9U=,8,30,female,3,20120728
6tvlB52xZrbcS7dpj82wzaxHii7m9TArTPR+Z8C+2+k=,5,49,female,3,20130122
YncEmbXpWuVb1IDEoxTtr6gQqDUm8Hogc99MB2MENuU=,14,17,male,3,20130601
uAK0YogDvZO04spSulmJpyIBpl1KDo9A1AY46LsCweY=,5,18,female,3,20130614
sQ8hRHBprdAWtFSpS2MjnJEU1Ctat+fMvvAzVSRnOVg=,12,28,male,3,20120913
O0fI4HYax4oOsA2GFm+teQh907BtSbAHvo6PZVPRebg=,13,26,male,3,20140403
LBLQqauyh2z0dxTMpzX6e2uaEx+Jj65qleqUgtU86eA=,1,0,,7,20120407
mWFfk+vCO7b3hz245f78DPtYj4OAm2Oire67y80ErCk=,7,24,female,3,20150219
W9SunDuEX33ZtSc/Tqjq3z0ByXMGzx+tfWzlHsE9hjI=,13,25,female,9,20090717
lEjPXGRqJw2Yijzi0O2F+33R5EYcRlROsLviFXmPt9I=,1,0,,7,20140718
Mv+Kb/V5JizE03k4znMCnh/ZV0f3Qd4Y/UyhMknwtt0=,22,27,female,9,20131118
gxnb2s4s6XhixzzIYNqxSh9jqIgxTUFKdXmwQYc+5VA=,1,0,,7,20151107
C3L368NLlHOpGcBOExiIbCQTRyyl8LLxXAD0eho8sCU=,1,0,,7,20120111
wPQnznX8SeHEmCarsWAzaFNp1Jg+K1Z6gnP5vgSo/1Q=,13,30,female,9,20110611
eSxWLA0LXt78Z4CWsLOCEEbscW6fuMc3vp5aNZRaL8E=,1,0,,7,20101229
fKnML9VRRJ1c+oFXJ2firFxk4CNehRv3yYyFB7lZ3sc=,18,62,male,9,20100921
bk+C0z55poTCltWHbuqZS7ssv942BHskCaHbDu/f5Qg=,1,21,female,3,20151001
udV8hJUyAme/+/ocXRwW45boLbzhHqUIpdEUdFtpyxg=,1,0,,7,20130909
ZtIreQyIfuw1JdNYZueAY12vicNCDryU1mm/UiSEsVY=,22,28,female,3,20150222
aHuJ6Pw/dUiCGYsp4HFMhy7Plq6ct7Q9pAGe67xHJQM=,1,0,,7,20130609
PvgTo2xfJxMugAcsF258VjmE0yzEIez5HyG9sLRh1Bc=,1,0,,7,20110313
dPb2Obc6ZS3cl9eMBxb25BlV4j4Ua17F42kfnNrfimg=,1,0,,7,20150818
BRTYe17d0rHBQ0Y7XADmCq+Rixjlrr3p3YMxOi1z4nA=,1,0,,7,20140605
N9IbKNKpBZEdTGyqZjPrmk4hX46KSZM6ueLWpX0bJpA=,13,37,female,9,20040724
+muVyw8vwUhdAwR91H428E1TPwxM3U3cN4Zo2CRrTrw=,1,0,,7,20120721
sjlJse4Oa/x8sfximkaoVGTBmItP+UBVKaxC65Zatuk=,1,0,,7,20150630
UJGYJK0klQzhAs3P6vxyNwAB0Z1LtWnpluxOSvHc7kg=,13,35,female,9,20101212
bgBF7Km5hb3O0S1Pf9qAW6ETx+Vat6BKyY/ykETtPaM=,4,31,,9,20150301
RFXHLnLfVPjDGmrDICg5z44uHdDGcLAH9jYZOTrB/O4=,1,0,,7,20130810
ON+TC04WpUH9FNX0Q9y1dH0UOOCxtLFqrjZnxdCvvNU=,12,26,male,3,20130115
TmudDnQrfZZJI5Q6kQGPT8oBn0IdatbPsLZDnyZgONY=,1,0,,7,20110908
CrtMALH0KbsNuVL7cAySCYRdpTtR+DFdnmYGsgbYkYo=,17,19,female,9,20090702
dr4OVF0aa8KpCs6JpkKLEdl/nySzf+1ThJpvp2niaAo=,5,18,male,3,20150514
9+3CE/xF+QTTujnnnbdi5nYyOlFDaFbE3a4UTMPhLTQ=,18,26,male,7,20121016
3P+R+6hGUfTyKo2n4jompbeWbTIpqG/d3c9E90fAByA=,6,40,female,9,20110404
Q+cxBacKUtqCcVClisSPUuCeFi8k1HWh5yokGGjUozs=,5,0,female,7,20110301
lApZO8jc7vGNN/6pJ68hizNIe7oTPoyaKu6isWcbQRo=,1,0,,3,20140621
QsTXAReB6Qkf+K98djAq/rNdx3vFLcjPGXnGqHkpVRE=,9,45,female,9,20070203
LoS2+jRUN6SjVJOUxD8KQI7m5JLwzcNZm9Z1Ag7wr/8=,13,21,female,9,20101120
eJTimoO2eqIujZUktWJYU8UB7BckH3JOgODT+dp/zmI=,8,28,female,3,20120106
fLYRPLSiZcBR1M6/jEb7f9SJL69iBRGHjTBlLNqM6jE=,1,0,,7,20130815
Xs+j2IelDtqs/EYKO1Wy4vllGhSuetxXKQ5KvhPUsnw=,1,0,,7,20150701
URNCoKPduD20/qoTilriWugswLtGNlSJ6RMlwXZRwaU=,12,37,female,9,20090302
ryTQQHnB/2oT/Arf0jMUuBbwo9LZE4UYZ2ukiq2eROM=,5,24,female,3,20150702
vZLWN7iVJSzEAw5K/buVy3vijnCbtUQD8IDTmzvbfDo=,4,21,male,7,20141006
EgUe32+bthDGB6ZPFZZPztNCuaC79D7c2DeT6PCD9EI=,13,21,male,7,20131006
PPvxJjA329EHmFI2mj3l4ojaYj/6xJWnrz2Egy/Hifc=,4,22,male,3,20131129
oDde9YP4LM2Vd0yTPjqv/OEfhjFP8Z1Cxiw8CBfOktA=,5,26,female,9,20100615
7GNQU5DrjiCzfrhbx6hCgBSZXu0ds2Do+NYvfZooXGE=,1,0,,7,20151114
ZzBkVVegd0IxO9RibBQQk7Lhn6XLvGdxbn83WwSxJN4=,22,28,male,9,20051027
owPbQL+/m5KseqwkRugN3S8gqPMFMXKDvKC6H+xpT/8=,5,33,female,9,20051201
7SK7ZZm4IUIK76URuBRcjj06Ro40DgxuWcKWHc5N6WU=,12,31,female,9,20060225
HWgfS9LmlBiu2M1lqq87bpyClarmEdmjrU2aY6SGbuM=,4,22,male,9,20140918
TVPi6GG7tYtrLV1tFhntvzLvZDGjbqxlRL5tLYNb4V4=,13,0,,4,20151217
6rW64Gb3JDfFNvp1Lcyt/ht2aYv2DDx4Md6WBNEmFjA=,13,23,female,3,20150222
ZaM3AUHX5o47wmC+5C877cX3JAmH788IoCKRZTjF7bg=,22,0,,9,20150901
BuixazfIvyMBCAlee5yHPBD6eHDvX2VgsnFnVAyVIlU=,22,29,male,9,20060728
xzK36Q4PdWyBPE4x9KbC5HtDKeW37m0pcixretBBvx0=,13,30,female,3,20120710
UzWf4RLTSsfVLd9HRoE4wLsfyvJz1sdGGiBD4C1yDEk=,18,24,male,4,20151213
03zxfR46BQgP0Ngyg6gOuX+rRaTzbcXqD2QMYFcrHqg=,4,35,female,7,20100603
w+hGMpwApYjvNSdfFK/6K7RoPLYfEhc7ZNCtwjbzra0=,1,0,,7,20110112
dEVLiRr0eBNERvZVfW6ZCL7mAZhGENMpc+Gg+BTE2Oc=,13,49,female,9,20070920
loF7t1zY513WHipQH0iN4fYKy1lhjJho9Wqn+oiiXYY=,1,0,,7,20120703
8Ax/NHJrLbwygmF2SfR+KXr3r3vEU11zOl0Ncd+weKA=,12,29,male,9,20071028
uo0lu5z+t0rxpuOnSsDEoKZ5pPtv1k8mRz7K+dZ4JSY=,13,41,male,9,20120506
FU0Gc7Favqo0+3usvd6VaAFsesaXhNfOV01OlGPDzM8=,1,0,,7,20140522
yzbjRIg82oKd7WyI1VXfDk8XvWysK5ReKwpAudbwAfc=,13,25,male,9,20121206
BABL5Bg7MH3FCcMO2wznc4Dkf0mwYM5zYR2frghA+Oc=,12,23,male,3,20150829
doha+YMGh3l3ZAyFztS1jqNYPPC0TyCLcfaadBwwHps=,1,0,,7,20151122
zmeLVr3jsGbS0EgHAtzMmmB0unK15nI3d9PaZnW9PPI=,22,19,male,7,20121218
/0x0nBFnt+VqiKWSwJuuqcj73eXhj/dfacZstx/yTgQ=,4,32,female,7,20140425
6V5yYN+iBELZ/EELGQ6r6VK+vMoJ1RJwSlZeD3A2PkE=,1,25,male,4,20151219
Xx6JZ2dK2My2E3ckq+IMLtodAL9b3CYteJI6YfzcdCA=,4,26,female,7,20121224
IwKA+PqZSz8XJJrIX1EIeIp+IWvJZAjA1AzInc4GL3Y=,1,47,male,3,20150326
J1l2dtdWCKe7HRyJZHFmC+arustvloYDM1nw0v0duF8=,13,21,female,3,20141221
14R5ywtFqLzHrp4j5iUAYOSth9Ti5fR0Szf/MaPjM30=,1,0,,4,20151205
YiZO8G4tpWQejM1csMGI4tXN+2M7XfnU+I2F53PhhfI=,1,0,,9,20150205
lE2F9X/6VKlrIOTjlyP01+r8OfK0nbCeyNLjgAvvgq8=,13,0,,3,20121021
CbDMzBFbUEkVUlaxcy3Su+YnK3YPAbcNE5y/DkR+VB4=,15,18,male,3,20150727
J+LoR5IiMcvDsU4skpjLaDCg3rOU6fmtI9odTn5PKWc=,13,25,female,3,20120602
F1s1biz2D9C2bkMYjLXFWgI4J/3WnZZ1JYHZQCQxeD4=,12,28,male,9,20141010
HWT4OYJksmaB026VHo1t1y59brz9LoYmIilyo2QoxbE=,1,0,,7,20110609
BsWlm9IexTk7/YiSbOY2MWMYGVTO3zu3T2uVbqZ2kfw=,5,23,male,9,20101126
RL+a/FMZqTOeu9bAxMitreq3Sb4xOAqb12HsWXPdUao=,5,17,male,3,20150102
Wp871+1xxEYjUOr446auqpy6Zn1FH60uEzVm4OuFXN8=,13,26,female,9,20080629
KbyByVNImtOk2LC5XMmpuCW5yQZaUsKpKYLVcltvrC4=,1,0,,7,20150824
A6HukTWR/ga2qH7wjmZxShYfe2QlJ4aK7E0gIFVSBMw=,9,25,female,7,20150715
zz3m/dTioUfaR+VrjggZteyxZCri1cSARVRRPfFP724=,13,17,female,7,20151003
bQgfBA2HLCIpH+8/rFRK34bKQOeg2By6KSiS8/Tc4g4=,1,0,,7,20101230
SI7uCpWQrp+oeUiKwkqr5HAWU3PvYDNE8biI6/a9aFY=,8,21,male,9,20090701
IvO3pBwP02GYydRUo6W3EpAI38Ximi/ILBiDU0ZG9ZM=,5,42,female,9,20050923
RK2F7vMq3/VdvOY4lrlGjBwwrWXJRP6A21wgImNnIO8=,1,0,,7,20150710
BO/AwVmKI7x91EzoP5h5C9raq+TARbBsjCj5dIxaDRw=,1,0,,7,20150907
zFgPidUIwGtDNXXRCCTjZdbbwf7VvNYdc2H/3MyWPwg=,5,0,,3,20130707
Lxu2lA5oDNdVeIxId3IIaYSNNgJFSIa1YIauZ5+hvAw=,3,27,male,9,20120811
1t7qf1auO+HOJdF9drNgvaA/xnYtZMTqW0AWnaiAUwc=,4,18,female,3,20130524
etRL428ZUhkx0D4aAXZ69M9AGweXUFVe5j8VuW0Q7Yg=,1,0,,9,20140205
CFaWwAb7wHn948E7sk3C6jPWtfWFtWgVFbD4AurpHNE=,1,0,,7,20130817
X686osq8ckYRKS5uTPiHtZ8QWMwy8K2NzAIrsv7wIjo=,15,24,male,9,20140607
j7cga025hKyz8d8q3MmWRxUQMTtB00E33rdag9ttKm0=,15,28,female,3,20150409
viXTwQTXHh+XinbM9/7K9yPk0C6JpVBT4mlQ0y+W/c0=,8,20,male,3,20131130
/Gst82uqlaQnaJXU19vqEFjLIRQhidPX6kb3vpuWJkg=,5,38,female,9,20070124
KoDnAt6QUz5U8u3Sscc/px8Py16dTfvBbnDU0QfT20A=,21,32,male,9,20110814
kV2KbyBMYjAixLXteaT9oyakCdrkiWZffeqjCHLNIVo=,15,28,female,9,20040629
yy8pTt52YjWkKKboUUktnvvrtbrsEacKJhFUx1yun1M=,13,35,male,9,20110415
4kRvU4aUz96BpwqO+NGGrjMlkQGW2l7Qo12x11uPCus=,1,0,,7,20150805
+zDKrZX/BwdCMGqg3gruAfGKAJcMRy9B4K1y9znL5HQ=,13,0,,7,20110209
8L8H9YcQy2I3gj2z8QiSiGkCGRKBWKdf5s1xHu+FB/I=,14,26,female,9,20100420
3mHIh+V1z01QMQ46dEiGFMrqiAQjNY1+oDZPiYI0/14=,1,0,,7,20131211
tkU3eLbbm8jnHHpwX4PAL5RwFes4j0/V8Pi62yiaq44=,15,0,,9,20140603
NgIql9j/SkJtXLcOG+FdA//JUh2J0Lnm7diRZOfKwDk=,1,0,,7,20141020
gzD4DDCEx9ULFd/O5bfBLzgisBkGoAp66afNr0x8P1M=,1,0,,9,20150718
76rEtpGmFWqrtIH5jLlFcUDVQOK+CGg3+suBd80xi6A=,8,20,male,9,20070818
dqqsPcjvMe/2d1NW7oilvJFtco/PrYKXIE86/ZkjYg4=,15,40,,9,20101109
ocx8+kHUcsU44tb3pB3Z1oyGWnvR6kt0tj4r5L97sKI=,4,20,female,4,20151030
NaDQz/i3NKA8Js1mHAdf7SkNgNXM7UWHUyg0jZqwlAE=,1,0,,7,20151215
cE7zEJYTnn8GXJM84F+OgrE2cZpbjri66Bz7f4+EuDg=,3,27,male,9,20061021
IdwU5cVj4K0ea8coHz3XzYJK6lPSwhS5tiEnBcSCbCo=,5,55,female,9,20100318
FHkswsgGEr9cGcHJsNWw9HHmKCvESKNnwAw9A+Mn1vQ=,5,28,male,9,20071209
nFhTSaXq504VX/vJY5VJnjbMCO2o0znCf/sLi3P81Ow=,1,0,,7,20130512
GP/F4SQXw2Jv8DL6jh4ClOcfQ0BY/Eqkk8O+NLH2IOM=,5,40,male,7,20100805
RVTFErTM4CKFcLrYBITgOzNFXIf340RjLHXMZ/UGKpQ=,1,0,,7,20130327
A8FCL7v4EAUUPL1GnKvlkExbV93lEAgydVyB8/WFWN4=,1,50,female,7,20130710
OcLpMFT2mx4n/eeVhFVNyPav/RuuGIboAz/jbPx7ZH8=,1,0,,3,20140411
0OE19jrT0qQNXqt6jQ06Wbp8VUuSQ/r2FB+LXaWAxsQ=,12,20,female,9,20150822
p1hn2+3lp1UqtZmxAFmev46wxdrAd+8SouMMu898lvk=,15,23,male,3,20150706
kAjA62/TsoMqtr9sJtbGbefUwl6c/fIQ7xrE7P7FEVA=,1,0,,7,20140211
nDvGTNT9ANt4Fgi+3HX2MUeCPpcilBVBd+I1iyYVvKY=,4,41,female,3,20120806
jXMU5o1B7zCsta6GS8tNiJ1gVsn3oLnGtFQGwSrxufs=,4,32,female,9,20080822
ccfKl0Xrty4ek2eE+OWQ5HJ3mL+Vofwob/32pnrdrGQ=,22,0,,3,20130403
vC1GWjTMhFZUPKIFh+9uo7t7B9UNloViujevg+sLDuI=,6,22,female,9,20130630
1Hd0SMD+h9Vnb8WvAYu2VVrvDTzXTTtDWhkeVvk0S2I=,5,0,female,3,20130929
CFGkhWxTryWj6AEtB7UvrO1XAd/IkYFf94MJtv+xyQQ=,11,28,female,9,20130426
1N9Qli9+s9bZgRnJWKiC4m29irZgTZWDmVfxzNMt9/U=,22,20,female,3,20141115
aTREsEXcIWW2sqh3XLqpiAEqBbyONPURjrpta0zPB8c=,14,27,male,7,20130306
NIYqyqp2EXTB2knCcZZSz8nzwN7lSencGGCXPsoW088=,1,0,,7,20151023
8uPW0WjXHwAIn66wz0Uou1ET9iK74gA3yMbNuOzOlR0=,5,31,male,7,20100922
2+BjzPtI4IIyT5ApsIMMe5Etq5HlDhtJYmZt/gVUJDY=,13,19,male,3,20131027
V1RVqWla2/mhEMnqiVzKZOZJN2DJ4GWQ5uHSWENN9JM=,22,38,female,9,20041129
SL6kR7ZuHJnx2kqkN2Z7SzrW930WA+f3BfjlgFkyIfY=,1,0,,7,20151114
2tzkD/o5sDP2PV9ghGzY5eo1peT0ory+SWOnDG4/SZ8=,13,35,female,9,20070430
ZT58Z3G4embFzSV51Y9/2QB1V2jxF9hvXk1Ru+1omvc=,13,26,male,9,20111003
6j1CbJ/w+pGyAusu/n+z05q/QCLPxgp43E8tNpL8iMY=,1,0,,7,20110602
5m2OD3m82FMcMln4b6HvUPElFPiteETWfXaFoy5Fm6I=,13,19,male,3,20140222
vAsH5o8fQdUyczVHs/TrV1k+hwzuiZWtY97yM7L8g8Y=,6,38,female,9,20060821
csWY68LK1MiqXIXn7+NpcPFhFVcO/ptxGMd3OdcsyuY=,1,0,,7,20120201
KkEQS/fr3AWnUteHdtrWAiRHvciTPVdrZFkClVULJP8=,1,0,,7,20150711
WtqWWgW05SeSJTmodmjgiDvYGqwzg8EegxrPli89ni4=,12,24,male,9,20101127
r86avXnjAwGclpYKARZTaNKESb6OJVIuJEn9QU5f6iM=,1,0,,7,20110101
OCV5Ist/zRO6oaiSLl7AQ3fhESYyrFlLjEHP/vAnRv4=,22,31,male,4,20151108
s1g6aFKrfZsJOIx4VP+FXti8GAkkFjHNRWI4fEdQJZQ=,1,0,,7,20151011
+0z9B1qAnTH3wa3ZitmEKvDqEkIg88+bxJqDjcoCr3M=,5,34,female,7,20120111
JPJtVnJzQe/70RlrsPKSh7T44UFKltNoB5mffZtiBkc=,3,34,female,9,20140706
qaCAE9rsa7Y0mCw9sTPGeKgVWS13hKf5lZ7S/ukGnfo=,4,35,female,9,20140310
4O03DLw7W4E3/FxzYBDL5wz2Im4mdmpU0k7vMRf9Bj8=,5,53,male,9,20150904
/OIanYFevuDbt2d9vnXtYlPr6qyG9HktHtQpDremGug=,1,0,,7,20120521
eIR+obT8PEH/JfVPdAjT5tuad91YKFq2pa8GtztqGK8=,13,0,,3,20130217
vmdqvxjZIRw84nOQwe+6RKEAuS1BvfG3VE74SWaRk3s=,13,27,,9,20140508
3E9hQkj/POQqAiDtSv4Mc9HV644nNVFX7NvTBk1RCy0=,5,32,female,3,20150808
wMN8ST3lMjvq5Oue8wjCMVkU12h0rINCg//4p6PxSFI=,1,52,female,3,20151027
IWJgt9cArYdr2UksunncZMyjQ9CetLveWAFlr1BijIM=,15,26,male,9,20070119
9iosVg7juoHkHhDbLg2hStZ1MNbP4vqW/JZK0CDRPgg=,15,25,female,9,20060330
AcHPABxE1fmAgocwQb2Fan2GiB+FlnXzrZZ5O3X368Y=,4,20,male,3,20150719
2ss6nZYp0hrGr8+0xP/tkRljQapVutplUf0mmsXrfgk=,4,28,male,9,20100515
XF532f3uQgdlHJdt+eHB6EWxv55hOjM8BjSF7Chjc6k=,4,25,female,7,20120314
PLo7ujbchxuup7igl4P0sEFOGQf2DS7Sy1pNONLMc1E=,1,0,,7,20100726
LqJONXKOFI0VVHJTKYefLIwDdloEMl0mlsDn5siKvU4=,13,52,male,9,20051022
hBbL6TISRGEsl5zzXtIK2cxQoJCsyW/vM9BgNpoJ9dg=,13,0,,7,20150131
LqUB32xQaPVDEOW+7SghySDWqRSad6DEqWr72wH4R8E=,22,0,,9,20141016
CVOIwrXABVsgOVQ2tIyB7Adr1WIvHsIG2gZFxodjIRs=,13,25,male,9,20070710
0KE7WeJpovLAdWmKptTl5IDwXkhv+k9wMdHxc4rm3u0=,13,32,female,9,20050101
lYTg3orYwoqgrByEdxv0lz2bxWTeyycvcahN0LYytN0=,13,38,male,9,20101219
izS6cf6FZ3wn/yQVTnmnfoMkZyfXk+MYctSYPE+Nel4=,1,0,,7,20151025
PoAlVseryLdK1ssQt+QNeYboIKvneowmQ811ZbEm7ic=,1,0,,4,20151112
lsxoQSiKWIvZevP6P0R72ETDyJ8XSmrSeEp7lN8LAp0=,5,18,female,9,20100314
FvKyTX8jStTT1YOEdkPP5qKW9G7Ap+/UX2RBlMw6+7c=,4,25,male,3,20150717
zGCJb0+OLLXoEa/TLOLp6O37NVipE6yMJsmOMDyUvCY=,13,47,male,3,20120926
U3Agu68wzkO7XpgIwmm2HbDzfVNCHQ50RLqIZYijsTE=,1,0,,3,20131215
Has+tV/TOWxPGYrFb2INXCoPa6zudJmIes6b5nFvEdk=,4,29,,3,20130406
38jAgLd9sAb9Aq6XURfquwPn1JMdCsPQLkThjTXvpNk=,22,27,female,3,20121001
yKScg2NBQWIP3SlCnwQTPJbArEnVmd2Y8MoaG3yT33o=,12,0,,7,20140102
TA4ONH7htfYfu3pVMsMqCHA9GjibsWEkvs3Zr4LUQug=,9,26,male,9,20120415
EJ8nk3cyFbPqyp7BlA0SG6a1OckBcdur2SSLiWdSnCU=,13,0,,3,20140127
rAcsBHj5EZBJjgG+gGkfj6n04qj9qAMjXn/j4dv+e84=,1,29,female,3,20141223
YH28G4WCxxRdQKRPNP9LQI6pgNLZQyDw1xIuCgtRI9Q=,15,28,male,9,20120527
aOlRYI9Ixyj0fYBAaRSZh3WxPwJTzdgZ9J7Yg6lE7g4=,21,29,female,9,20120412
bGze6R1h0pouMHvRIYsRfqiSxtsIo5jONmHHm8R0Qlw=,11,27,male,9,20080110
yK9pLSSstctsTzlJlZBGFhOM60eCIrX5DV0Oju27PEI=,5,33,female,9,20120213
q+YfSFem8PfoZGVlSXUA17jFX5xo/G5z2rSSTiSKV18=,6,34,male,9,20141104
Jp/SilKuJXfOi29epG/XIxie2GHZRA+Dtua86gmL6do=,14,32,male,7,20140520
EZRUPGMqFC4ZTigoEvIr0TQoz6eaSBFZkUaYFII4gM8=,13,0,,9,20150524
+xT4tY1Nv1WHtcyaa3ycHcPITYM/fM70LYee4cP4xsA=,1,0,,9,20150529
MkB1Ir4htrUsPnnKgAz7+M2nGUWU7Ysje474bOz/fK4=,15,30,female,3,20120713
iU+Dfb6FtAUIgnmaV/70YluNlHuPKht/gdRvzhYP+u4=,22,0,female,9,20040917
YgsfgOOKoomFSRpjn2pAeZnBjwx4iPNX9PRQWXchcvo=,13,26,male,3,20130402
Y9RYY8oGaXykTEuERSAdRZ3R55xUg+4nJHc0r3xllAw=,1,0,,7,20130909
clGmeHI7gFVKasEl7+omDdb5qoxwQl3olloERiU2/ew=,13,31,male,9,20110604
m6bkBnoJHeY/Hjbw7zMIN+071FQptwnI1V8fUH6D7VM=,1,0,,7,20130713
HwG7sPeKfusVr2VUYZbjEZzt4uSFQgpVlBGr+zQNG+g=,5,39,male,9,20131026
bSESOdM+yyvazHYUwdATzERlxmUtMogJTGcnfmg3cP0=,4,24,female,3,20130710
UZ2oEDN0UIVKFUmEXw4x8WYHjNn3mbwH14tSjw4jzRI=,7,26,female,9,20090609
wb77cHiRSIEHB5s0FFr8VGvFFmmkT9ZVr4AF6WiegP8=,9,26,male,7,20130615
VY3WmqtCGz2WXWQmBStSUgCVYo/pNmJ8DjOOENfl70I=,13,0,,3,20130808
ns4RJ4SZ0bMOIzf5S9t5c+IKE8QguUqFEk6lmx2MMuU=,4,34,,3,20130217
HYNR6WbMeClM/qPZdGNxckyQWLqDmfarA1JdGY0ix7E=,13,57,female,3,20141001
DJMrArh3IyQC0flMKHbti7pTcyfhLQ6xwSZeMsAayLw=,1,0,,7,20150819
5yVok33siC5ZoIj3su+qufj/DemIp5vaPndLXihFqfw=,5,38,male,9,20121226
fRfnc9jJO1tpSvJVoQC2IXt/IKyCvl2wF103nz+IkvE=,13,39,male,9,20120816
VFRAheWVQm6o8RROw8Va/AE1lyA9tpBbXwH7cNQnBZ8=,3,27,female,3,20140226
wK1hhWSMRt1LeMNsFn6qD3gterdmpgVE0PJHwzzZXzM=,1,0,,7,20120602
NrjOzG0gYxi7foKL9wf497zzL0n+vXiqBvp5++Rd3uA=,15,17,male,4,20160101
D7BO198E8riw72JsIm3B+0KVXMU2ZY6eQSxSTDAclfU=,15,23,male,9,20150321
7Fhxma49Wb9QAPLDqkR4k31ilB/9apjKcQpaaoNF044=,1,0,,7,20150816
MmX1XGqv0A6ZF7rNU60tx1V3qdCkpzkyVzJi0n+Vm4g=,1,0,,7,20151121
9TUBZ2qF7Q1DLClEYmNEy4mC+y5lLHI6kqp0Tx001Vs=,15,25,male,9,20080615
ueYMSMd5DEPT62uzNi1DGe4gFZu+sH8kjp+50Tt/yfM=,10,19,female,9,20150923
hlpd/KDEARZ5rZuRHOpBHbv55JgJ7Qu5iJllxyJM300=,6,20,male,9,20150401
sW68usSOoh9pZD16M2eyCDsZykZi7+cynqTljHl0ZCg=,22,24,female,3,20150115
fPncOjlPmmQy88dOnsRcjUTQg2ANNOMTiRO8iEghtO8=,1,0,,7,20150726
suVgRMTzIWfeYyJ7v7/uJI0khTeVZ2Gm3dN84Gcixkw=,14,31,male,3,20150907
NZ7VlAcgpp0nJW6S59v8l/qQ1FNJToVgdJp23g6Ug2Y=,17,22,female,7,20150825
